SaleID,DateKey,StoreKey,ProductKey,SupplierKey,CustomerKey,PaymentKey,Quantity,SalesAmount,FullDate
1,1,1,1,1,9,2,5,5.85,2025-01-01
2,1,1,3,3,3,1,1,2.52,2025-01-01
3,1,1,2,2,35,2,1,0.8,2025-01-01
4,1,1,3,3,1,2,3,7.73,2025-01-01
5,1,1,1,1,10,1,7,8.27,2025-01-01
6,1,1,4,4,7,2,1,1.44,2025-01-01
7,1,1,2,2,30,2,5,4.12,2025-01-01
8,1,1,4,4,19,2,4,5.75,2025-01-01
9,1,1,3,3,5,1,3,7.56,2025-01-01
10,1,1,2,2,15,2,5,4.19,2025-01-01
11,1,1,2,2,24,1,8,6.49,2025-01-01
12,1,1,2,2,5,2,5,4.08,2025-01-01
13,1,1,1,1,25,2,4,4.64,2025-01-01
14,1,1,4,4,4,1,2,3.06,2025-01-01
15,1,1,1,1,5,1,6,7.13,2025-01-01
16,1,2,4,4,32,2,3,4.37,2025-01-01
17,1,2,4,4,9,1,4,5.79,2025-01-01
18,1,2,3,3,28,2,3,7.69,2025-01-01
19,1,2,3,3,9,2,2,5.25,2025-01-01
20,1,2,1,1,10,2,1,1.24,2025-01-01
21,1,2,4,4,25,2,4,6.06,2025-01-01
22,1,2,4,4,1,2,3,4.71,2025-01-01
23,1,2,1,1,22,1,5,6.16,2025-01-01
24,1,2,3,3,17,3,4,9.5,2025-01-01
25,1,2,4,4,20,2,1,1.56,2025-01-01
26,1,2,3,3,11,2,2,4.83,2025-01-01
27,2,1,3,3,32,1,1,2.52,2025-01-02
28,2,1,4,4,16,2,3,4.38,2025-01-02
29,2,1,4,4,5,3,1,1.53,2025-01-02
30,2,1,3,3,31,3,2,4.81,2025-01-02
31,2,1,1,1,35,2,7,8.79,2025-01-02
32,2,1,3,3,24,2,3,7.42,2025-01-02
33,2,1,3,3,5,2,1,2.44,2025-01-02
34,2,1,3,3,1,1,2,5.04,2025-01-02
35,2,1,3,3,3,2,2,4.78,2025-01-02
36,2,1,1,1,32,1,4,4.69,2025-01-02
37,2,1,1,1,31,2,8,9.35,2025-01-02
38,2,1,1,1,23,2,2,2.44,2025-01-02
39,2,1,3,3,7,1,1,2.54,2025-01-02
40,2,1,4,4,13,2,1,1.46,2025-01-02
41,2,1,1,1,16,2,3,3.52,2025-01-02
42,2,1,1,1,35,2,2,2.29,2025-01-02
43,2,2,4,4,32,2,2,2.9,2025-01-02
44,2,2,4,4,1,3,1,1.45,2025-01-02
45,2,2,2,2,36,2,8,6.26,2025-01-02
46,2,2,3,3,4,2,2,4.9,2025-01-02
47,2,2,3,3,38,2,3,7.17,2025-01-02
48,2,2,4,4,33,1,2,2.87,2025-01-02
49,2,2,1,1,16,2,2,2.44,2025-01-02
50,2,2,4,4,3,2,2,3.02,2025-01-02
51,2,2,3,3,14,2,3,7.83,2025-01-02
52,2,2,2,2,20,2,5,3.96,2025-01-02
53,2,2,4,4,40,3,1,1.43,2025-01-02
54,3,1,1,1,9,3,4,4.8,2025-01-03
55,3,1,4,4,11,2,2,2.96,2025-01-03
56,3,1,3,3,34,1,3,7.58,2025-01-03
57,3,1,4,4,7,3,3,4.69,2025-01-03
58,3,1,1,1,36,1,2,2.49,2025-01-03
59,3,1,2,2,14,2,4,3.27,2025-01-03
60,3,1,4,4,4,1,4,5.85,2025-01-03
61,3,1,3,3,22,2,3,7.16,2025-01-03
62,3,1,3,3,29,2,3,7.25,2025-01-03
63,3,1,3,3,10,2,1,2.4,2025-01-03
64,3,1,4,4,3,2,2,2.98,2025-01-03
65,3,1,4,4,14,2,1,1.56,2025-01-03
66,3,1,3,3,27,3,3,7.71,2025-01-03
67,3,1,4,4,12,2,2,3.11,2025-01-03
68,3,1,1,1,27,2,6,7.4,2025-01-03
69,3,1,4,4,7,2,2,2.93,2025-01-03
70,3,1,1,1,30,2,8,9.33,2025-01-03
71,3,2,4,4,13,2,2,2.86,2025-01-03
72,3,2,2,2,18,2,2,1.67,2025-01-03
73,3,2,3,3,8,2,3,7.83,2025-01-03
74,3,2,2,2,39,2,5,3.82,2025-01-03
75,3,2,4,4,33,1,3,4.47,2025-01-03
76,3,2,4,4,28,1,2,2.93,2025-01-03
77,3,2,4,4,5,3,2,2.96,2025-01-03
78,3,2,4,4,8,2,3,4.57,2025-01-03
79,3,2,2,2,21,2,5,4.07,2025-01-03
80,3,2,2,2,25,2,3,2.33,2025-01-03
81,3,2,4,4,1,2,3,4.46,2025-01-03
82,4,1,4,4,29,2,3,4.48,2025-01-04
83,4,1,3,3,19,2,2,5.08,2025-01-04
84,4,1,3,3,16,2,3,7.2,2025-01-04
85,4,1,2,2,3,1,4,3.09,2025-01-04
86,4,1,3,3,37,1,1,2.49,2025-01-04
87,4,1,3,3,10,2,4,9.9,2025-01-04
